AssetCode,MonthID,Amount
jeflbre230062,202408,557719.56
corri33578,202403,383499.04
aurfrbre227614,202401,414152.79
sorpp27560,202402,429017.18
corse28203,202409,479424.08
mintui280246,202409,411592.84
jefc43004,202403,328594.34
stonvrcbre75063,202401,399067.06
praircv75080,202501,844648.91
attm30092,202401,413669.58
corpn280915,202407,290995.34
porpgs233409,202411,798688.16
belv75025,202408,1067281.75
kinco33186,202404,1013392.49
sunpo43074,202404,250406.86
corb280226,202409,518068.77
corrockrim80919,202407,198154.17
parwa78216,202401,547632.38
corn37209,202407,616987.48
alngbre75063,202403,973615.74
corasRH75002,202406,786569.78
broadwcHL77573,202501,500141.13
porpgs233409,202408,831418.73
jamsbre30043,202407,621258.80
aurfrbre227614,202411,406836.74
corasRH75002,202405,770376.46
corbc27701,202401,555474.83
corna43054,202412,307689.95
purlv75039,202501,529985.06
jamsbre30043,202411,624347.13
corcc75080,202402,683220.32
sola27519,202408,397181.73
wesls80124,202408,792580.15
villp3oef30080,202401,680642.01
corasRH75002,202401,780254.39
wrenn28216,202403,480170.84
cororTL27612,202404,325826.83
villp3oef30080,202407,693527.55
sovbbre28262,202410,385600.54
cororTL27612,202402,326858.25
broadwcHL77573,202407,510752.76
villp4oef30080,202411,1001445.57
cormckinney75201,202403,785128.19
covri80233,202403,363718.39
praircv75080,202409,849715.54
covbbbre33716,202412,739617.48
corbs78744,202502,495530.91
sovc77494,202410,504611.96
chel8oef30096,202410,837642.82
corci34787,202411,669627.10
corpc30342,202407,297027.79
purcoc78748,202411,366529.29
corr22209,202409,1054508.04
corr78730,202402,710889.18
peypa43026,202406,177410.54
cor2580534,202502,419762.16
corro77019,202408,448337.54
praircv75080,202408,861636.46
artp75034,202405,536105.49
arrsbre285308,202409,654301.75
avps30318,202411,135001.14
becpbre75038,202401,624171.36
resal43110,202410,499962.52
bat2b30339,202502,462268.17
avpf30318,202412,153435.00
benb43004,202409,396751.57
broadwcHL77573,202405,501401.59
cosaoef233782,202501,377678.94
uncbre228262,202402,476611.99
coruptala32701,202407,573187.02
v627604,202410,451196.32
cords33444,202412,692928.54
garvbre75287,202403,755439.76
attfm75201,202501,383518.59
corch75056,202408,495592.43
corwi30004,202410,493216.24
corlc85718,202403,1133958.53
vishccbre75063,202406,741425.39
corjp32822,202409,603748.62
adwr75078,202408,545343.17
jefc43004,202408,315022.86
adwr75078,202403,536361.44
corrosscpCOMM22209,202406,58868.69
corcc75080,202401,724628.89
hil30342,202401,525943.99
cosaoef233782,202406,389394.61
cormckinney75201,202402,807543.48
chh37013,202412,452513.55
eccoo32806,202410,567858.86
sunr43219,202412,272431.44
corwi30004,202501,491636.76
Lagpa33196,202502,807308.79
flatwhbre78245,202411,277136.19
vizcbre77084,202404,431845.89
stratpcr75034,202407,400033.60
bowbbre233616,202406,1062967.31
corch75056,202409,467656.17
flatwhbre78245,202502,277735.43
covbbbre33716,202502,735726.61
stratpcr75034,202502,379407.60
virbre30033,202408,783807.43
exchnhyld30341,202502,743673.54
corho33020,202404,785570.64
corsk233177,202411,484725.93
pasbc78738,202406,411146.17
maslcbre77407,202401,430920.89
sev30329,202409,555872.44
corlo85704,202501,472209.45
ridvoef76116,202502,351068.73
corlo85704,202404,493394.81
balof80205,202401,601700.71
cords33444,202404,690515.10
cords33442,202401,517792.51
corse28203,202407,519816.98
corp30342,202402,236170.97
corpn80917,202403,458373.25
villp4oef30080,202406,1034457.95
arlingapt22209,202405,113588.79
covbbbre33716,202405,712627.60
sovpr75035,202412,565037.27
v627604,202411,440620.87
vishccbre75063,202404,744809.80
dismvbre285209,202404,626684.34
porpgs233409,202407,833372.57
corsk233177,202405,498841.97
corrockrim80919,202406,194722.06
rialbre75010,202409,465751.51
dismvbre285209,202502,595083.15
corwe75229,202402,1051051.69
corar85042,202406,336868.09
corar78759,202406,530352.68
stratpcr75034,202408,413661.24
lantcB75013,202411,459971.65
jefc43004,202405,324144.57
norsu43074,202410,378768.78
v627604,202409,448511.64
ridvoef76116,202406,383315.94
hampl33196,202501,648721.19
havr34747,202406,588974.37
cormilld155415,202410,547483.16
sanbcbre85226,202412,396330.56
corub33428,202402,1320064.56
cormidmia33137,202411,1148786.30
corbc27701,202502,537197.02
inkwg77084,202501,453441.20
cornl22202,202412,731051.42
vizcbre77084,202411,430214.39
bracm78209,202412,448644.41
corna43054,202407,316082.90
villp1oef30080,202403,532921.67
vers32771,202410,553806.39
astpoef30096,202405,437958.79
stratpcr75034,202501,371671.24
cornl22202,202409,748983.43
becpbre75038,202409,625395.30
corwn37209,202410,788931.55
corlo85704,202402,499205.08
corga33782,202403,615867.44
corww33578,202402,335846.73
corsm83642,202401,526294.17
corse28203,202412,485807.58
brisoef75056,202405,490663.87
avpf30318,202401,148857.74
galcbre33615,202408,551127.90
cor2580534,202406,448296.32
cosa33782,202409,593829.02
sovpr75035,202501,557687.63
parbre2830076,202406,1040941.13
bat1b30339,202412,380976.64
watecbre230062,202410,861448.45
corgv80249,202402,574138.53
corch75056,202411,415143.52
cosaoef233782,202410,384907.36
barmlbre32703,202409,1110073.13
regoef28211,202409,248049.73
corsm85283,202501,682111.28
corrn260654,202401,0.00
corpn80917,202407,445091.01
corwvill175204,202502,531405.64
echl30092,202501,493876.18
powgr43065,202410,564028.38
parwa78216,202411,523962.17
olean30329,202502,605113.17
brisoef75056,202403,499208.95
flatwhbre78245,202405,295782.63
villp2oef30080,202411,354554.67
estspmbre278748,202403,643530.38
cors30350,202402,386910.96
cornl22202,202411,735617.86
corar78759,202502,508259.36
cosa33782,202401,606185.15
copscbre77041,202406,528492.46
corhiTL27519,202411,472069.62
maslcbre77407,202406,421877.47
corn37209,202411,655667.42
astpoef30096,202502,435406.96
pinuhHL85050,202401,496390.86
cors75035,202410,390684.87
corsk33177,202407,985004.55
cormilld155415,202404,524098.48
cortm83642,202405,573443.83
copscbre77041,202412,521218.01
sunri85704,202403,390462.01
lantcB75013,202402,479634.73
gatplhmc33025,202412,613577.91
vilc77054,202408,464269.35
villp4oef30080,202407,1033808.61
corsv75035,202502,484182.02
parcbre285016,202405,253677.51
corpn80917,202411,451111.62
attfm75201,202408,407125.38
wrennl28216,202412,324180.33
colpo80206,202406,388632.16
venr77469,202502,422576.00
corar78759,202408,533082.47
ves35205,202404,531645.69
corpp85306,202405,588644.89
v627604,202408,460522.70
galcbre33615,202405,547106.30
attp77581,202403,201378.73
citfoef80021,202407,437962.26
bowbbre233616,202401,1083658.80
parwa78216,202408,550248.20
garvbre75287,202502,740004.89
astpoef30096,202402,454317.36
avf75219,202401,625644.51
corub33428,202401,1315578.23
villp4oef30080,202402,1047325.63
corsc85750,202407,254363.87
corw30067,202502,715250.44
lake43147,202407,284169.96
corl33612,202501,863174.34
avpfccbre76137,202401,345932.70
corub30342,202406,298340.43
av27604,202401,499293.58
CorcM27519,202411,313159.76
wesls80124,202411,705356.71
cords33444,202409,661819.10
rialbre75010,202404,477096.83
avf75219,202501,618937.04
villp4oef30080,202501,990324.77
venr77469,202406,419087.32
hofbb76126,202409,340541.15
virbre30033,202409,776420.41
lake43147,202403,278956.46
hil30342,202404,512265.73
porpgs233409,202501,821176.58
cor2580534,202404,441963.68
corpc30342,202405,302278.25
avscr77584,202408,517126.24
fosc76137,202501,570818.36
corprovitp76015,202412,741610.20
cords33442,202502,516422.95
porpgs133409,202406,889191.63
mintui280246,202402,383757.01
corrn160654,202412,510937.46
brook43068,202402,259807.50
corsk33177,202411,1019868.00
watbre278748,202407,482622.68
corf80020,202407,623771.03
villp3oef30080,202411,692526.78
poinoef28217,202408,452935.64
corrn160654,202402,498058.28
brook43068,202405,259386.99
gatplhmc33025,202409,633263.16
bowbbre233616,202410,1026459.37
clubc77095,202402,346225.84
rialbre75010,202402,471733.45
dismvbre285209,202406,622194.75
corp30342,202407,243454.41
gatplhmc33025,202407,649509.49
corhcoef34741,202411,502102.53
lexbre30004,202406,664299.99
corpn80917,202409,441039.39
stonbcHL76039,202405,763899.79
legpt77084,202403,318659.53
corcg33896,202401,346695.97
luxscr77584,202409,586612.39
attm30092,202409,402415.64
cororoy75063,202406,769072.76
kinco33186,202412,1029492.22
regoef28211,202402,250439.19
corn37209,202405,621555.80
3131oef30033,202408,418217.21
adwg32821,202404,777429.88
Lagpa33196,202404,822935.07
arrsbre285308,202404,662177.65
corna43054,202405,308822.29
harlhbre232707,202407,692502.65
watecbre230062,202401,859275.58
adwg32821,202402,800789.42
fosc76137,202412,575093.02
corbawarba33764,202407,860202.22
corsm83642,202502,536106.09
coronponce30030,202407,398043.22
corlc75039,202409,668506.08
porpgs233409,202401,841141.38
corse28203,202401,567065.98
porpgs133409,202405,872074.83
parlcbre33615,202412,387911.45
astpoef30096,202401,441215.29
presahB75093,202405,582444.03
corwbbre233437,202407,591013.17
corlo85704,202406,490827.94
corpn280915,202410,310833.81
bowbbre233616,202402,1084502.53
huncoef28262,202412,363878.21
corci34787,202403,679644.94
corb37209,202403,548130.53
corr22209,202501,1129218.48
pinuhHL85050,202502,474027.62
Lagpa33196,202501,776475.19
stonvrcbre75063,202410,398538.55
cormidmia33137,202410,1159086.82
corww33578,202407,332619.89
corpn80917,202408,445599.32
corar85042,202408,333716.86
dechighlands,202403,698160.69
corcg33896,202403,409793.04
3131oef30033,202401,424992.36
corpp85306,202406,583810.91
galcbre33615,202403,556547.27
retbcbre33510,202502,580295.00
bat3b30339,202411,177416.66
powgr43065,202407,560200.30
corga33782,202401,619986.15
huncoef28262,202501,364435.69
hungl76021,202404,310680.32
corhp85233,202408,648413.84
sunr43219,202502,278619.38
corct76123,202406,493148.25
corbc27617,202408,385015.48
villp2oef30080,202408,370772.80
capcwbre228273,202502,394063.12
on80920,202401,258691.36
villp1oef30080,202404,532884.07
corub33428,202411,1312181.23
presahB75093,202410,583287.89
powgr43065,202409,559294.21
villp2oef30080,202409,364999.52
stratpcr75034,202406,393614.92
corpn280915,202409,304015.48
dowbe80226,202501,324056.60
porpgs233409,202409,832222.29
corlc75039,202403,689325.81
hamrbre27713,202401,383102.15
regoef28211,202410,241171.40
corsv75035,202404,486133.83
ligw77064,202406,489864.93
garvbre75287,202410,720924.86
fosc76137,202402,596117.34
islcbre33615,202401,712092.69
hungl76021,202502,308936.40
ridvoef76116,202412,357676.12
ams75034,202406,598058.66
aurfrbre227614,202501,416254.55
hofbb76126,202502,365615.54
bowbnbre233616,202412,1296256.28
corhp85233,202405,653187.78
galcbre33615,202409,551320.28
barmlbre32703,202502,1086436.18
corbc27617,202406,355627.33
bat1b30339,202406,418347.22
lints76021,202407,1415536.08
corpc30342,202406,295872.59
corub30342,202401,280154.95
corrosscp22209,202404,1286328.66
coruptala32701,202406,555419.43
cosaoef233782,202409,391363.34
tow2885016,202401,37632.40
alngbre75063,202406,997959.29
norh77433,202406,553444.44
corp885345,202402,581943.59
sixty76116,202501,319500.19
avpfccbre76137,202406,351038.13
abbl43110,202405,249383.87
corwbbre233437,202411,577837.67
watecbre230062,202412,835032.90
cortv30106,202406,453672.68
capcwbre228273,202403,428010.33
corct76123,202412,477624.69
havr34747,202402,582471.43
cororoy75063,202401,744159.92
cosaoef233782,202502,386382.37
pasbc78738,202502,362205.85
on80920,202407,267702.19
jamsbre30043,202409,610867.13
corsc85750,202502,261184.12
aurfrbre227614,202407,418484.06
villp3oef30080,202405,706641.66
attm30092,202502,419524.23
vishccbre75063,202409,755596.42
harlhbre232707,202404,682679.67
corro77019,202407,455474.50
presahB75093,202411,584063.31
ams75034,202407,600617.04
corjc30005,202408,821296.20
avpfccbre76137,202405,333819.47
becpbre75038,202412,625857.20
parwa78216,202409,540419.02
bowbnbre233616,202409,1289952.99
virbre30033,202501,727525.62
cosa33782,202410,612693.64
maslcbre77407,202411,419823.17
courv85008,202401,620346.52
corsm85283,202402,684709.07
bracm78209,202410,439634.88
corlo85704,202403,498788.81
avpf30318,202502,156642.94
sanbcbre85226,202406,390919.09
corjc30005,202403,786596.42
Lagpa33196,202405,832678.24
pasbc78738,202411,419379.76
wesls80124,202407,800905.50
corse28203,202411,497125.32
corco34747,202404,676084.60
copscbre77041,202410,542179.83
avpfccbre76137,202407,351556.20
arbsbre27713,202407,487334.21
corho33020,202406,770030.89
stonvrcbre75063,202405,400327.64
presfbre278240,202412,569676.50
eccoo32806,202501,565447.46
corontheriv83712,202408,409809.68
Corb85016,202406,668522.20
corbc27617,202409,388136.98
corub30342,202403,289867.24
founHMC76039,202408,406686.54
resal43110,202403,492177.47
hampl33196,202405,651441.40
regoef28211,202502,231939.17
villp1oef30080,202405,535708.30
cors30350,202502,357982.88
oveda32118,202407,289345.59
flatwhbre78245,202501,270723.58
lantcB75013,202405,465063.38
arlingapt22209,202403,99811.03
wrenn28216,202409,466783.84
maslcbre77407,202407,431637.07
resal43110,202409,504127.69
parbre2830076,202411,1030541.19
sunpo43074,202401,246730.69
cor2580534,202403,441205.40
corar85042,202403,338828.37
hampl33196,202410,605806.32
flatwhbre78245,202408,298798.35
corbc27617,202501,427077.95
cormilld255415,202401,0.00
estspmbre278748,202408,627052.32
resal43110,202408,497410.28
fairfccbre76137,202401,339964.37
pasbc78738,202410,407915.15
cormc28262,202412,471262.09
brook43068,202501,262818.38
corse28203,202405,551531.34
cororTL27612,202405,324386.81
astpoef30096,202409,464226.83
cormidmia33137,202502,1145278.35
inkwg77084,202412,443182.97
purlv75039,202405,552176.40
parlcbre33615,202411,378229.24
av27604,202406,487437.47
corontheriv83712,202405,396201.88
corsk233177,202408,498426.85
corsv75035,202410,475690.76
regoef28211,202401,253270.74
shend30324,202405,577078.97
corar78759,202404,545791.06
corwvill275204,202501,0.00
astpoef30096,202404,445074.19
purcoc78748,202412,379718.41
villp3oef30080,202404,707613.52
copscbre77041,202502,520373.92
corbc27701,202408,569953.15
bowbbre233616,202408,1078118.24
purcoc78748,202408,408848.41
coronponce30030,202401,389109.35
corct76123,202402,530115.79
corb37209,202405,546290.92
corbc27617,202407,383771.51
ech30030,202410,652786.61
lints76021,202409,1414665.90
corse28203,202501,506551.08
echl30092,202407,499453.28
sanbcbre85226,202501,403679.53
coralamst280223,202409,-7608.48
puret78261,202412,547406.32
sovbbre28262,202409,381899.71
ves35205,202407,517936.98
cords33442,202410,519140.81
corp885345,202401,588893.98
corub30342,202409,291844.48
capcwbre228273,202402,418253.83
avscr77584,202401,487291.30
casli85704,202401,213434.67
parcbre285016,202501,266169.14
fairfccbre76137,202501,344018.23
cormidmia33137,202412,1146761.92
corpc30342,202403,289565.52
wrennl28216,202408,220308.76
coruptala32701,202402,555228.08
corch75056,202502,440893.07
stonvrcbre75063,202402,398377.53
corhcoef34741,202401,500034.38
corrosscpCOMM22209,202410,0.00
sev30329,202408,561378.62
Lagpa33196,202409,816236.47
corsm85283,202411,674056.70
poinoef28217,202409,444428.58
hamrbre27713,202410,374608.85
cosa33782,202405,613359.57
dismvbre285209,202410,599462.65
cornd28210,202501,487373.66
eccoo32806,202405,566470.52
fairfccbre76137,202408,368030.43
havr34747,202403,577934.97
sev30329,202405,564237.85
corhp85233,202409,652924.25
CorcM27519,202403,314976.89
corpc22202,202401,989430.70
covri80233,202405,354789.30
corjp32822,202407,615829.07
vers32771,202401,578787.17
