AssetCode,MonthID,ActualAmount,BudgetAmount
corhp85233,202410,657102.96,610574.10
cormc28262,202408,454651.66,562553.08
sorpp27560,202406,433817.13,432623.37
spc30092,202412,323965.36,276781.04
villp3oef30080,202411,692526.78,733380.16
ligw77064,202407,488496.71,467943.47
corpb30305,202410,285866.41,0.00
adwr75078,202403,536361.44,586113.14
corrockrim80919,202412,202537.06,226030.46
corho33020,202408,792417.75,826994.40
hil30342,202407,497059.39,0.00
parbre2830076,202408,1043307.47,1030584.44
Lagpa33196,202503,806668.13,813114.57
stonbcHL76039,202502,751683.86,757025.82
parbre2830076,202411,1030541.19,1021656.52
dismvbre285209,202503,595150.16,588999.31
dowbe80226,202409,312697.10,334245.65
powgr43065,202401,543316.15,555595.28
jefc43004,202406,308706.36,315408.55
avpfccbre76137,202406,351038.13,350871.31
corsm85283,202409,666783.26,690642.41
sorpp27560,202403,425396.37,431601.30
cortv30106,202401,422353.16,467266.04
cormilld155415,202502,539095.70,567726.00
corsc85750,202411,258722.27,262189.03
sovc77494,202503,497078.03,494797.23
corsm85283,202406,710032.78,692850.14
corsc85750,202408,255750.36,261194.48
corrosscpCOMM22209,202403,10170.88,0.00
arlingapt22209,202502,431014.04,469194.56
hil30342,202410,506745.99,0.00
corasRH75002,202412,766760.88,794883.79
corrosscp22209,202401,1263628.64,1548586.66
villp3oef30080,202408,701193.63,719474.92
15777qoef75001,202403,641186.11,690482.92
lake43147,202403,278956.46,287609.54
corho33020,202405,766751.67,826459.91
corro77019,202408,448337.54,436821.08
avps30318,202503,133692.94,136413.57
hil30342,202404,512265.73,0.00
courv85008,202411,607731.56,643394.54
15777qoef75001,202406,704138.61,736102.16
cortv30106,202404,438524.02,471737.52
jefc43004,202409,312755.22,317574.21
avpfccbre76137,202409,342647.78,349711.43
cormc28262,202411,462174.75,571722.23
corwvill175204,202407,534507.45,515629.14
flatwhbre78245,202409,284325.45,314570.72
colpo80206,202405,385950.14,383105.82
purcoc78748,202402,399149.65,415819.51
artp75034,202502,541902.16,538675.68
parlcbre33615,202404,390961.70,398749.34
villp1oef30080,202403,532921.67,524341.80
avf75219,202412,622580.99,669967.20
corlc85718,202501,1140767.42,1140767.42
cornona32832,202401,773548.00,756895.40
corrosscp22209,202404,1286328.66,1574719.66
lake43147,202406,283935.40,289332.59
hungl76021,202410,305732.12,313319.56
corwvill275204,202411,0.00,0.00
kinco33186,202502,1067513.92,1027593.23
avpfccbre76137,202412,331110.67,352885.64
covccbre80231,202503,671214.94,714188.68
bat2b30339,202403,504254.29,518910.63
cornona32832,202404,760303.19,743497.96
sovpr75035,202501,557687.63,569389.93
greho43016,202405,198071.08,211351.91
sixty76116,202412,322991.69,335391.58
powgr43065,202412,559290.60,567743.36
sola27519,202411,390121.62,437211.75
corasRH75002,202503,746306.76,762614.20
purcoc78748,202404,416265.39,412415.19
corwvill175204,202405,500918.36,482455.24
stonvrcbre75063,202503,391907.23,392904.26
retbcbre33510,202406,597565.96,611573.70
rialbre75010,202501,445287.86,454349.33
corct76123,202403,510384.69,528363.42
corlc85718,202503,1168589.77,1185957.90
venr77469,202407,417423.97,418334.64
bowbnbre233616,202503,1343998.07,1305666.81
chel8oef30096,202501,805233.13,805233.13
lake43147,202411,288922.58,298354.32
corct76123,202406,493148.25,546968.90
corgv80249,202403,597027.65,598243.09
corrosscp22209,202409,1240467.07,1687148.33
corch80203,202405,375847.38,402256.85
corb280226,202501,566669.25,566669.25
brook43068,202410,259878.32,266641.71
puret78261,202408,575424.39,588055.27
colpo80206,202410,361636.45,390479.18
avpf30318,202502,156642.94,157667.48
corwvill175204,202402,405882.31,441945.78
attbre30022,202502,472303.92,471226.90
villp2oef30080,202408,370772.80,363997.88
alngbre75063,202411,964648.42,951254.99
vilc77054,202403,461785.56,467288.26
corse28203,202402,540347.84,598257.82
corrosscpCOMM22209,202411,0.00,0.00
Corb85016,202405,690158.05,680968.27
ves35205,202408,534974.49,574189.31
purcoc78748,202407,411919.40,403275.11
cords33442,202501,507676.90,507676.90
corpc30342,202501,288499.89,266848.49
colpo80206,202404,371785.95,382651.58
powgr43065,202409,559294.21,564094.60
corf80020,202502,604111.77,598009.72
corrosscp22209,202412,1366528.93,1711827.33
venr77469,202410,418359.92,422651.07
venr77469,202404,406335.90,415952.77
coronponce30030,202503,447598.48,445154.50
retbcbre33510,202409,587124.54,599401.67
puret78261,202411,569628.17,588373.58
brook43068,202407,250486.04,260827.74
villp2oef30080,202411,354554.67,368056.34
bat3b30339,202411,177416.66,203590.76
cornona32832,202409,743145.06,756439.19
ridvoef76116,202502,351068.73,375502.63
corch80203,202402,393755.44,394967.36
granr80920,202402,631954.51,662565.97
colpo80206,202407,385533.90,385253.57
corsb75035,202403,533170.42,543048.32
sovbbre28262,202401,389586.36,395875.34
cormilld155415,202407,545562.84,531807.46
greho43016,202408,206392.51,217991.65
corwpwarba33401,202412,630500.91,662982.11
corontheriv83712,202401,389828.58,393347.75
corrn160654,202503,539740.88,535382.85
granr80920,202408,671301.52,668514.55
aubg30312,202406,285894.29,269739.04
garvbre75287,202404,757668.76,767984.91
aubg30312,202412,280775.81,278355.78
corci34787,202412,635409.18,709511.64
av27604,202503,472298.50,467530.37
corct76123,202412,477624.69,558232.67
eccoo32806,202405,566470.52,579063.53
ves35205,202405,535860.01,568576.54
corpc22202,202402,963120.03,1582956.16
corna43054,202503,313017.92,330384.38
uncbre228262,202403,472998.98,495312.09
coralamst180223,202411,431236.27,487371.29
inkwg77084,202404,438802.94,445269.67
corsk233177,202407,464511.94,486596.16
corci34787,202406,698243.72,702190.14
brisoef75056,202409,496391.63,519754.70
eccoo32806,202408,576411.40,583256.73
sovbbre28262,202404,402353.70,401688.78
greho43016,202411,211222.95,218433.95
corpn80917,202403,458373.25,441649.25
CorcM27519,202409,306104.37,336064.51
cornl22202,202408,719172.55,699605.61
corsk33177,202503,985948.67,1019884.21
corri33578,202502,603579.18,595901.51
corwbbre233437,202502,575340.39,575204.78
aubg30312,202409,289732.62,272860.64
corwvill175204,202408,563491.52,532914.02
granr80920,202411,622179.36,670331.89
CorcM27519,202412,308665.56,339876.07
casli85704,202501,222434.84,222434.84
corontheriv83712,202404,390946.62,412410.23
avf75219,202411,619854.07,654480.06
granr80920,202405,629655.28,662861.82
ves35205,202402,531656.43,549167.63
corhiTL27519,202403,455883.82,0.00
retbcbre33510,202412,597293.68,584007.80
shend30324,202501,545213.34,545213.34
corpc22202,202405,1026645.07,1645067.82
corct76123,202409,474430.90,549878.80
coralamst180223,202408,456974.28,481495.38
corci34787,202409,691888.81,707947.39
brisoef75056,202412,467146.71,519110.06
CorcM27519,202406,320031.39,331333.69
cornl22202,202411,735617.86,704589.83
inkwg77084,202407,451650.36,447712.62
brisoef75056,202406,500335.51,519935.27
luxscr77584,202502,560338.68,595172.45
purcoc78748,202410,367584.57,397635.12
balof80205,202403,634866.14,669029.28
corsk233177,202404,475553.10,481635.12
