AssetCode,osl_UnitNumber,unit_group
ridvoef76116,1-313,2x2
corlo85704,10208,2x2
retbc33510,101B,2x2
corwi30004,10005,1x1
casnriet28216,9305-204,1x1
corsf33619,1-341,1x1
luxscr77584,12110,1x1
stonvr75063,2091,2x2
shend30324,2301,1x1
corsf33619,1-324,1x1
founHMC76039,2008,2x2
adwg32821,3208,2x2
corna43054,7240B,2x2.5
can30341,3199F,2x2
exchnh30341,7403,1x1
towc77339,910,1x1
liv33559,1423,1x1
steep30093,5965B,2x2
avf75219,4080,2x2
coralamst180223,N237,0x1
corpc22202,02-1006,1x1
dung30360,C-10,2x1.5
corpb30305,1148,1x1
verwccbre75013,384,2x2
cors30350,8026,1x1
briar75007,1906,2x2
kinco33186,12-01216,1x1
virbre30033,E,2x1
ves35205,H202,1x1
brook43068,2803KW,2x1.5
corri33578,5433-120,1x2
corprovitp76015,1931,1x1
lac30360,90J,3x2
balof80205,1333,1x1
corrn160654,809,2x1
corwe75229,4308,1x1
audv33615,602,1x1
910ts75204,1213,1x1
arbsbre27713,416,1x1
corpc22202,01-0911,2x2
corhp85233,2039,2x1
villp230080,2059J,2x2
HighlM30033,1001,1x1
villp430080,2165S,2x2
1250w30064,1907,1x1
villp330080,2111B,1x1
aurfr27614,4-202,2x2
corri33578,5433-309,1x1
souto27560,3302,2x2
vishccbre75063,0812,1x1
wrennl28216,3-305,1x1
Lagpa33196,1308,2x2
attc89121,154,2x1
corar78759,285,1x1
saxw75070,1935,1x1
purfm75226,2386,1x1
chel8oef30096,3201,2x2
casn28216,9425-208,2x2
corwpwarba33401,10-108,2x2
corsf33619,2-420,1x1
viz77084,K14,1x1
watecbre230062,673,2x2
villp430080,2163E,2x1
dismv85209,1080,3x2
coras75002,01 - 2101,1x1
corct76123,13205,2x2
islcbre33615,095579,2x2
covbbbre33716,3306,1x1
norsu43074,G7234,2x2.5
corub33428,77-309,2x2
towc77339,2607,2x2
910ts75204,231,2x2
CorcM27519,1327,2x2
ech30030,558,2x2
retsr75071,1131,2x2
presro78728,13-1316,1x1
harlh32707,05-310,3x2
vers32771,09-212,2x2
spc30092,134B,3x2
spc30092,048H,1x1
1201p75074,1315,1x1
ansl28210,818,2x2
corlo85704,07207,3x2
isl33615,135752,2x2
villp3oef30080,2133P,1x1
So190M75080,4204,1x1
corr22209,1905,2x2
towcbre77339,1007,2x2
legfc32606,06-101,2x2
venr77469,19104,1x1
fairfc76137,132,1x1
corbc27617,335,2x2
wesls80124,328,1x1
kinco33186,13-01333,2x2
corgv80249,7-305,1x1
ligw77064,622,2x1
lints76021,00412,1x1
corar78759,512,1x1
estspm78748,1523,1x1
teno30046,506,2x2
corwbbre233437,3307,2x2
gatplhmc33025,11-204,1x1
unc28262,1724,1x1
becp75038,1013,1x1
corld75056,4216,1x1
parwa78216,13107,1x1
sovpr75035,12108,1x1
corml75204,1308,2x2
wat76244,5200,3x2
souto27560,6002,1x1
souto27560,9008,1x1
harlh32707,11-111,3x2
bowbn33616,4005,2x2
granr80920,2337,2x2
