AssetCode,osl_UnitNumber,unit_group
jefc43004,0914D,1x1
camhg28215,5615E,2x2
corhi27519,1400-1412,1x1
corr22209,1310,2x2
covbbbre33716,10210,2x1
corlc75039,4092,1x1
uncbre228262,1537,1x1
gatplhmc33025,04-107,1x1
corsf33619,1-226,2x2
corsm85283,3143,2x2
hamrbre27713,A512,3x2
corci34787,05307,2x2
fairfc76137,512,2x2
bat3b30339,508,1x1
corba33764,5-314,2x2
tosvr75077,1306,2x2
atra80021,4212,3x2
corhcoef34741,B-105,2x2
corpp85306,1098,3x2
bowb33616,1121,1x1
covcv76132,1206,1x1
bowbbre233616,1011,1x1
deerv34471,2302,1x1
watec30062,756,2x2
fairfc76137,1037,1x1
corpc22202,01-0420,1x1
resal43110,7355,2x1
ligw77064,1014,1x1
stratcr77494,4303,1x1
vk77094,5305,2x2
lake43147,1308,2x1
verwccbre75013,148,1x1
cormidmia33137,0710,1x1
corwpwarba33401,9-111,1x1
corr22209,1208,1x1
corn37209,266,1x1
legfc32606,12-105,2x2
founHMC76039,2119,1x1
sovsc77388,4102,3x2
bowbbre233616,0809,2x2
balof80205,1404,1x1
audv33615,1209,1x1
avf75219,1056,1x1
vers32771,03-104,2x2
corw30067,31C,1x1
corse28203,223,0x1
rialbre75010,8109,2x2
villp3oef30080,2135O,1x1
estta80234,13-202,1x1
HighlM30033,423,2x2
sorpp27560,5307,2x2
cororoy75063,3025,2x2
cornl22202,1207,2x2
laur76137,632,2x2
purlv75039,1003,2x2
sormpbre28117,1306,2x2
olean30329,211,1x1
lantc75013,2207,1x1
sovpr75035,14103,2x2
audv33615,1402,2x2
corch75056,4015,2x2
corho33020,03206,2x2
harlhbre232707,12-205,3x2
sunri85704,227,2x2
1201p75074,1927,3x2
alngbre75063,502082,1x1
corp885345,4087,1x1
puret78261,1304,1x1
copscbre77041,1927,2x2
cors75035,1F - 410,1x1
sprinv30032,280918,2x1.5
watec30062,530,3x2
sarpm28105,537-35,1x1
astpoef30096,1104,1x1
presfbre278240,2612,1x1
presro78728,3-0328,1x1
villp330080,2113E,2x2
corp30342,515,1x1
tus30093,183011,2x2
corrosscp22209,1-0814,2x2
corsm85283,3075,1x1
corbawarba33764,1-406,1x1
ambm30096,1636,2x2.5
corhcoef34741,A-307,2x2
olean30329,369,1x1
verp76177,5101,3x2
purcoc78748,1018,1x1
cormidmia33137,0811,1x1
exchnh30341,5204,2x2
lex30004,22102,2x2
rems43081,5471TSW,2x2.5
jeflbre230062,1931,3x2
sola27519,2-447,2x2
corub30342,1111,1x1
saxw75070,1725,2x2
corbc27701,633,0x1
clifg30083,588-05,3x2
dechighlands,226,2x2
isl33615,175749,2x2
lac30360,82E,3x2
watecy30062,425,3x2.5
bris75056,0172,1x1
gal33615,455483,2x2
corpc22202,01-0516,1x1
corsf33619,1-411,2x2
broadwcHL77573,08111,3x2
910ts75204,747,2x2
garv75287,15203,1x1
corhiTL27519,1100-1124,2x2
attp76133,2207,1x1
corf80020,2306,1x1
corbs78744,6302,1x1
venr77469,13102,2x2
1250w30064,518,2x2
corwe75229,24311,3x2
bat3b30339,606,1x1
estta80234,22-101,2x2
bowbbre233616,1510,2x2
corpp85306,1086,2x2
puret78261,3901,1x1
charlc70605,1028,2x1
vizcbre77084,H26,1x1
cortm83642,G104,1x1
cormc28262,1722,2x2
fosc76137,4317,2x2
corbawarba33764,5-413,2x2
becp75038,3015,1x1
lakgp80239,2121,3x2
lake43147,1017,2x1
bowbnbre233616,2089,1x1
madlbre43110,6372,2x2.5
arccr75070,3-3312,1x1
corna43054,5233S,2x2.5
chh37013,1301,3x2
sin30093,3301,1x1
corasRH75002,01 - 2078,1x1
Lagpa33196,1621,1x1
ansltc30809,312,2x2
arrsbre285308,1047,1x1
corlc75039,5039,1x1
parbre2830076,3010,2x2
venr77469,16110,1x1
5thous75244,3309,1x1
chel8oef30096,2124,1x1
corub30342,8111,1x1
fosc76137,1304,2x2
tersmbre278748,T-0831,2x1
purfm75226,2360,1x1
vilc77054,2237,2x2
attdLSC76208,5105,1x1
can30341,3271M,1x1
echl30092,3208,1x1
tersm78748,0939,2x2
ridvoef76116,1-933,2x2
liv33559,309,2x2
visll234711,14106,1x1
adwg32821,4407,1x1
lints76021,02714,2x2
bris75056,0431,1x1
hofbb76126,3218,1x1
chel8oef30096,3308,2x2
foun76039,1910,1x1
madl43110,6384,3x2.5
mer43212,2306,1x1
corub33428,93-409,2x2
maslcbre77407,623,1x1
corhi27519,0400-431,1x1
adwr75078,1102,2x2
viz77084,L13,1x1
kinco33186,15-01517,2x1
stonb77521,2006,1x1
maslcbre77407,1527,1x1
hofbb76126,4125,2x2
hunc28262,301F,2x2
aurs28210,T306,2x2
cortlm32746,07-212,3x2
ac20147,AT792205,2x2
charlc70605,221,2x1
towc77339,604,2x2
covcv76132,2184,2x2
clifg30083,544-05,4x2
presah75093,0824,2x1
liv33559,2409,2x2
sanbcbre85226,2013,1x1
sovb28262,2038,2x2
exchnhyld30341,5405,1x1
bowb33616,0412,1x1
covbb33716,5308,1x1
par8y30076,2608,1x1
benb43004,7165,2x1
esttaara80234,22-103,1x1
aurfrbre227614,8-205,1x1
broadnbv33487,22-501,2x2
corwe75229,18206,1x1
tus30093,686516,2x2
cormc28262,0719,1x1
jefl30062,8208,1x1
sienh30093,163,2x1
watec30062,916,1x1
attd76208,28103,1x1
corpp85306,2120,1x1
casn28216,8317-106,1x1
dechighlands,305,1x1
dompp30326,1223,1x1
liv33559,1201,3x2
cornona32832,1110,1x1
par830076,4111,1x1
cortm83642,S302,2x2
rems43081,5057BR,2x2
villp330080,2125D,1x1
verwccbre75013,341,2x2
bowbbre233616,0901,2x2
attd76208,6107,1x1
chel8oef30096,2140,3x2
coraddass30350,1410,2x2
puret78261,4508,1x1
cormidmia33137,0404,1x1
becpbre75038,3058,1x1
corri33578,5449-104,2x2
harlhbre232707,17-114,2x2
watecy30062,568,1x1
corlc85718,8-3121,2x1
brisoef75056,0683,2x2
lake43147,620,2x1
arbsbre27713,2015,2x2
ansltc30809,111,2x2
barmlbre32703,203,3x2
corjc30005,2128,1x1
covbbbre33716,10106,1x1
broadwcHL77573,12207,2x2
cormc28262,0906,1x1
towc77339,1703,2x2
avpfccbre76137,617,3x2
artp75034,14214,3x2
por30096,408,2x2
jefl30062,1335,1x1
cormidmia33137,2709,2x2
esttaara80234,01-202,1x1
covbb33716,1110,2x1
cororTL27612,4016-105,2x2
corbawarba33764,3-101,2x2
avr30354,4108,2x2
alng75063,533055,1x1
kinco33186,19-01912,2x2
can30341,3179D,1x1
lints76021,01313,2x2
aq32256,284,1x1
coras75002,01 - 1080,1x1
fosc76137,14309,1x1.5
wat78748,08-0822,1x1
attd76208,5105,1x1
corba33764,1-307,1x1
corba33764,5-411,1x1
corprovitp76015,0617,1x1
stonvr75063,1042,1x1
corlc75039,5007,1x1
corw30067,09D,2x2
cortm83642,T104,1x1
granr80920,1526,1x1
presro78728,9-0933,2x2
hal77096,P229,1x1
bowbbre233616,0310,1x1
15777q75001,3430,2x2
adlb28078,3306,1x1
corho33020,01203,1x1
ridv76116,730,2x2
corwb33437,9101,3x2
corgs27603,605,1x1
kinco33186,11-01132,1x1
villp2oef30080,2059L,2x1
corch75056,1081,2x2
lints76021,03224,1x1
avpf30318,317,2x2
sanbcbre85226,2073,1x1
ac20147,AT772005,2x2
vishc75063,1104,2x2
souto27560,7301,3x2
can30093,P0103,2x1
adwr75078,14102,2x2
ansl28210,3235,3x2
aurs28210,B204,1x1
corasRH75002,01 - 1157,1x1
aubg30312,212,2x2
1500o30021,1606AR,3x2
covbb33716,6204,1x1
corlc75039,5064,2x2
poin28217,0221,2x2
becp75038,3146,1x1
cormidmia33137,1213,2x2
uncbre228262,923,1x1
copscbre77041,617,2x2
arrsbre285308,2049,2x2
mintui180246,09-401,2x2
ridv76116,632,2x2
alngbre75063,482036,1x1
corhc34741,C-314,1x1
dechighlands,433,2x2
chel8oef30096,3303,2x2
casnriet28216,9325-302,2x2
covcc80231,101,3x2
ves35205,H513,1x1
corpc22202,02-0518,2x2
lakgpbre280239,1929,1x1
cormidmia33137,2516,1x1
cornl22202,1604,2x2
313130033,3207,1x1
attp76133,3212,2x2
bat2b30339,526,2x2
clifg30083,540-25,2x2
liv33559,2404,2x2
villp4oef30080,2211A,1x1
inkwg77084,01-1425,1x1
uncbre228262,1329,1x1
arrs85308,1155,1x1
cormc28262,0514,2x2
stonbc76039,0234,2x1
stonbc76039,1722,2x2
tosvr75077,9105,1x1
par8y30076,2603,1x1
avf75219,3019,1x1
spring30021,3831B,3x2
cormilld155415,620,0x1
ech30030,306,1x1
por30096,1324,2x2
estspm78748,0523,2x2
CorcM27519,1404,1x1
corwi30004,16007,1x1
cortv30106,206,1x1
corsv75035,2B - 315,2x2
tus30093,184024,2x1
lakgp80239,825,1x1
vizcbre77084,L15,1x1
avf75219,2018,2x2
alng75063,673022,1x1
corpc22202,01-1312,0x1
corri33578,5488-102,3x2
covbb33716,1321,1x1
wat76244,26211,1x1
uncbre228262,1821,2x2
becpbre75038,2009,1x1
bowbn33616,6012,2x2
dismvbre285209,3065,2x2
copscbre77041,1036,1x1
corbc27701,568,1x1
corr22209,612,0x1
corwe75229,20314,2x2
liv33559,3306,2x2
picf30809,1181,2x2.5
corasRH75002,01 - 2002,1x1
estta80234,21-206,2x1
alngbre75063,542060,1x1
coraddass30350,1415,2x2
cormc28262,1208,2x2
laurbre76137,327,2x2
newl77084,13-112,2x2
par8y30076,3204,1x1
par830076,1502,1x1
So190M75080,1125,1x1
HighlM30033,1418,2x1
ves35205,H1103,1x1
aq32256,W1906,2x2
corse28203,238,2x2
madl43110,6360,2x2
villp130080,2033C,2x2
brisoef75056,0523,1x1
attl75077,3221,1x1
1250w30064,2017,1x1
corsb75035,251,2x2
wesm270605,10305,2x2
sanbcbre85226,1040,2x2
stonb77521,703,2x1
corhc33025,5-201,2x2.5
lakr43026,6159,2x1
alngbre75063,481039,2x1
15777q75001,1316,1x1
cortv30106,912,1x1
astp30096,1405,3x2
corjc30005,3013,2x2
villp4oef30080,2203B,1x1
chh37013,0403,2x2
wesm70605,4205,1x1
masl77407,417,1x1
corbawarba33764,5-202,3x2
uncbre228262,714,2x2
corrosscp22209,1-1001,1x1
hamrbre27713,A405,1x1
hal77096,T049,2x2
can30341,3275Q,1x1
norsu43074,G7345,1x1
villp3oef30080,2103K,0x1
newl77084,09-101,2x2
attbre30022,631,2x2
presahB75093,0722,2x2
jefc43004,8155E,2x2
cornona32832,3211,2x2
corcg33896,3-101,2x2
madl43110,6264,2x2
sanb85226,2097,1x1
corro77019,7209,1x1
corprovitp76015,1438,1x1
corwvill175204,712,2x2
rems43081,5424CR,2x2.5
jams30043,8303,2x2
sunri85704,105,2x2
corpb30305,1137,1x1
masl77407,528,2x2
adwr75078,1107,2x2
corpn280915,5850-307,1x1
tosvr75077,7203,1x1
sienh30093,127,2x1
estspmbre278748,E-1036,2x2
remsbre243081,4957BR,2x2.5
arrsbre285308,2067,1x1
chel8oef30096,2724,2x2
gatplhmc33025,05-306,1x1
havr34747,13B-301,2x2
viz77084,A26,1x1
stratpcr75034,1202,2x2
praircv75080,2627,2x2
lex30004,3206,1x1
cororTL27612,4108-105,2x2
exchnhyld30341,3204,2x2
lakgp80239,614,3x2
ambm30096,2153,1x1
flatwhbre78245,11203,2x2
saxw75070,825,1x1
arccr75070,3-3109,2x2
15777qoef75001,1212,1x1
oveda32118,NR0213,1x1
visll234711,18105,2x2
camhg28215,5615L,2x2
saxw75070,226,1x1
bowbbre233616,0317,1x1
adwr75078,30103,2x2
laurbre76137,418,1x1
attp77581,3001,1x1
retsr75071,432,1x1
vishc75063,1408,1x1
adwg32821,4122,2x2
sovbbre28262,1415,1x1
corpp85306,2132,2x2
deerv34471,2709,2x2
presro78728,24-2413,1x1
sarpm28105,401-25,2x2
vers32771,01-242,2x2
becpbre75038,2105,2x2
1500o30021,1603C,2x2
bowbn33616,5062,1x1
delc28212,6005-B,3x2
sormpbre28117,5212,2x2
sormpbre28117,4311,2x2
remsbre243081,5036BR,2x2.5
15777qoef75001,4105,1x1
15777q75001,3412,2x2
ac20147,CS800332,1x1
vill28212,315-0107,2x2
corrosscp22209,1-1114,2x2
mon78249,2315,1x1
copscbre77041,236,2x2
gatpl33025,03-111,3x2
lake43147,1309,2x1
can30341,3169P,1x1
corjc30005,2934,2x2
corub33428,85-107,3x2
towwm30311,08,3x1
allll32714,212,1x1
corf80020,3215,1x1
covbbbre33716,1108,1x1
eccoo32806,223,1x1
villp3oef30080,2113M,2x2
stonbcHL76039,1627,1x1
corlc85718,6-03203,2x2
corw30067,43C,1x1
1250w30064,2002,2x2
attvv89102,2102,1x1
on80920,1-306,1x1
attllsc75077,2204,1x1
exchnhyld30341,10101,2x1
corb37209,1012,1x1
stonbc76039,2338,2x2
poinlp30319,4205,1x1
kinco33186,07-00726,2x1
harlh32707,16-206,2x2
corasRH75002,01 - 2034,2x2
avpfccbre76137,728,1x1
attcp75052,1316,1x1
arccr75070,1-1311,2x2
coraddass30350,1909,2x2
purcoc78748,338,1x1
ech30030,445,1x1
uncbre228262,1421,2x2
spc30092,064A,3x2
alngbre75063,501087,1x1
corl33612,4301,2x2
indp70810,9105,1x1
jeflbre230062,1723,1x1
vill28212,509-0211,2x2
sormp28117,4202,1x1
praircv75080,0523,1x1
corsf33619,1-356,1x1
luxscr77584,05111,2x2
retsr75071,2032,1x1
vishc75063,1205,1x1
arrs85308,2103,2x2
corwpwarba33401,7-302,3x2
sin30093,1503,2x2
dung30360,1407,2x2
corsv75035,2D - 458,1x1
dismv85209,3017,2x2
ligw77064,524,1x1
vizcbre77084,B13,2x2
adwg32821,2313,2x2
bowbnbre233616,2098,2x2
bat1b30339,315,1x1
belv75025,2133,1x1
corch80203,624,1x1
dompp30326,1430,2x2
cosa233782,7210,1x1
garv75287,23204,1x1
bowb33616,1305,0x1
corgs27603,825,1x1
estspm78748,2212,1x1
parlcbre33615,1-113,2x2
powgr43065,P3360,2x2.5
cormd77004,2405,2x2.5
corrosscp22209,1-2109,0x1
corsc85750,3212,1x1
parbre2830076,3515,1x1
spc30092,066A,2x2
spc30092,112F,2x2
corb37209,223,1x1
bowbnbre233616,4030,3x2
dompp30326,1546,0x1
dung30360,1702,2x1.5
corsm85283,2089,1x1
mirrc32218,0310,1x1
mirrc32218,0809,2x2
lints76021,02422,2x2
remsbre243081,5071BR,2x2.5
praircv75080,1124,3x2
1201p75074,1212,2x1
watecbre230062,980,1x1
por30096,1611,1x1.5
coruptala32701,604,1x1
charlc70605,726,1x1
charlc70605,1518,3x2
astpoef30096,0520,2x2
harv77345,353,1x1
HighlM30033,916,2x1
stonbcHL76039,1137,1x1
corasRH75002,01 - 1151,2x2
can30341,3155H,2x2
islcbre33615,065594,2x2
becpbre75038,2024,3x2
corgv80249,14-111,2x2
corgv80249,13-201,2x2
broadwcHL77573,02304,1x1
becp75038,3107,1x1
shend30324,2402,2x2
capcw28273,5104,1x1
bracm78209,9306,2x2
coras75002,01 - 4149,1x1
corl33612,8203,1x1
corsv75035,2A - 469,1x1
corn37209,429,2x2
parbre2830076,4806,1x1
legfc32606,01-107,4x2
estta80234,13-205,1x1
alngbre75063,712062,2x2
audv33615,804,1x1
av27604,02-2503,2x2
havr34747,3A-201,2x2
sovbbre28262,6022,2x2
sarpm28105,306-26,1x1
remsbre243081,5433TSW,2x2.5
viz77084,L34,1x1
parbre2830076,2301,2x2
purf85003,468,1x1
corgv80249,4-305,1x1
dechighlands,805,1x1
lantcB75013,8301,2x2
watec30062,425,3x2.5
5thous75244,2407,1x1
becpbre75038,2061,1x1
1250w30064,424,2x1
por30096,822,1x1.5
broadnbv33487,11-504,1x1
belv75025,1617,1x1
corasRH75002,01 - 1054,1x1
casn28216,9305-108,3x2
harv77345,321,2x2
stratpcr75034,3114,2x2
wat78748,13-1320,1x1
av27604,02-2217,1x1
bat1b30339,217,1x1
chel830096,1914,2x1
benb43004,61,1x1
eccoo32806,410,1x1
purlv75039,2058,1x1
legfc32606,15-204,1x1
vill28212,301-0203,2x2
coronponce30030,467,2x2
lints76021,01224,1x1
attvv89102,2072,2x1
corn37209,430,0x1
presro78728,24-2416,1x1
corlc75039,1035,1x1
exchnhyld30341,9207,2x1
inkwg77084,01-1419,1x1
mintui280246,06-101,1x1
3131oef30033,9201,1x1
vensp77388,2209,2x2
stratcr77494,3320,1x1
tersmbre278748,T-7314,1x1
coras75002,01 - 2122,2x2
mer43212,1720,3x2
wrenn28216,10208,0x1
camhg28215,5508H,1x1
par830076,1110,1x1
casn28216,9605-402,2x2
corgs27603,622,1x1
oveda32118,SO0612,1x1
sienh30093,180,2x1
wrenn28216,2211,1x1
corhc33025,2-211,2x2.5
vk77094,6214,3x2
garv75287,6201,1x1
avf75219,4054,0x1
corf80020,2216,1x1
liv33559,2307,1x1
ridvoef76116,1-1235,2x2
huncoef28262,208E,1x1
ac20147,MS822100,1x1
mirrc32218,0101,2x2
harlh32707,12-215,3x2
purvt78261,0241,1x1
lexbre30004,3208,1x1
parl33615,532,2x2
villp430080,2169A,2x1
corasRH75002,01 - 1063,1x1
bat3b30339,203,1x1
corpn80917,16-304,1x1
lakgp80239,1437,1x1
briar75007,2304,2x2
covbbbre33716,5205,1x1
corwvill175204,645,1x1
poinlp30319,11104,2x2
bowbnbre233616,5050,1x1
can30341,3229E,2x2
hunr30092,1503,2x2
parbre2830076,2516,1x1
wat76244,25307,2x2
chel830096,3307,2x2
corasRH75002,01 - 2155,1x1
courv85008,2119,2x2
Lagpa33196,1013,1x1
attdLSC76208,13105,1x1
corwn37209,123,2x2
harlhbre232707,12-305,3x2
corlc85718,1-021,2x2
astpoef30096,0804,2x1
dompp30326,1660,0x1
provn30328,13F,1x1
lac30360,78J,2x2
cosaoef233782,6215,1x1
wat78748,08-0824,2x2
suit276039,13203,1x1
twap31322,2104,3x2
huncoef28262,120G,2x2
fairfccbre76137,319,3x2
par830076,2309,2x2
corprovitp76015,1933,1x1
isl33615,10401,2x2
stonbc76039,0235,2x2
watbre278748,08-0824,2x2
coruptala32701,251,1x1
alng75063,473029,2x2
avm30021,1068-2,4x2.5
corwe75229,3204,1x1
mon78249,2012,2x2
villp130080,2007S,1x1
wrenn28216,9102,2x2
mintui280246,04-310,1x1
vers32771,03-210,1x1
So190M75080,1301,2x2
rialbre75010,10301,2x2
corontheriv83712,222,1x1
broadwcHL77573,08310,1x1
legfc32606,10-204,1x1
ansltc30809,118,2x2
bat1b30339,321,1x1
corlc75039,3032,1x1
corlc85718,5-11,3x2
tersm78748,0714,2x2
vill28212,306-0104,1x1
fairfccbre76137,134,1x1
vilc77054,911,2x2
bowbn33616,1022,2x2
corcg33896,3-322,1x1
courv85008,2044,2x2
uncbre228262,1023,1x1
arrsbre285308,2136,2x2
clifg30083,568-03,3x2
corco34747,B3206,1x1
parl33615,226,2x2
v627604,1306,1x1
clifg30083,576-07,3x2
stonvrcbre75063,1104,1x1
bowbn33616,1057,1x1
dechighlands,633,1x1
tersm78748,0419,2x2
garvbre75287,20305,1x1
hal77096,P321,1x1
corpc22202,02-0214,2x2
corri33578,9144-211,1x1
cortlm32746,02-205,2x2
maslcbre77407,1812,1x1
clifg30083,800-19,2x2
sunr43219,2957,2x1
corwb33437,9304,1x1
corbc27617,2222,2x2
corp885345,1079,1x1
covbbbre33716,9205,1x1
laur76137,531,1x1
sanbcbre85226,1061,2x2
vishc75063,2201,2x1
spring30021,3834G,3x2
adlb28078,5305,2x2
cornl22202,1510,2x2
rems43081,5476CR,2x2.5
hamrbre27713,A434,1x1
poin28217,1721,2x2
cornona32832,2231,2x2
So190M75080,2111,1x1
arbsbre27713,1834,2x2
attc89121,145,2x1.5
sixty76116,817,2x2
corml75204,316,1x1
attdLSC76208,12103,1x1
barml32703,314,1x1
bat2b30339,303,1x1
presf78240,2108,2x2
wrennl28216,4-306,1x1
verwccbre75013,314,1x1
arrsbre285308,1079,1x1
bat1b30339,406,1x1
corhc34741,C-207,2x2
covcc80231,104,3x2
tus30093,184021,2x1
avscr77584,17105,3x2
corar85042,101,2x2
retr78148,533,1x1
sovpr75035,17106,3x2
vir30033,P,1x1
inkwg77084,03-3230,1x1
bris75056,1451,2x2
corprovitp76015,1737,1x1
esttaara80234,08-307,2x1
tersm78748,7114,1x1
3131oef30033,7103,1x1
corri33578,5467-309,1x1
corrockrim80919,5-203,1x1
villp130080,2043B,2x2
corna43054,7238B,2x2.5
barml32703,123,0x1
bowb33616,0115,1x1
broadwc77573,05202,1x1
casn28216,8807-102,2x2
sarpmoef28105,406-26,1x1
garv75287,6303,1x1
attdLSC76208,21104,2x2
corba33764,2-113,2x2
vishc75063,0602,1x1
lints76021,00224,1x1
bat2b30339,655,1x1
rialbre75010,2107,2x1
galcbre33615,435253,1x1
wrenn28216,7305,2x2
exchnhyld30341,2208,3x2
sormp28117,3213,1x1
purfm75226,3208,1x1
ansl28210,3114,2x2
sin30093,0901,2x2
ivyp30317,2102,1x1
cosaoef233782,6114,1x1
presfbre278240,606,2x2
towc77339,311,1x1
shend30324,4206,1x1
So190M75080,7209,1x1
av27604,01-1418,1x1
lakgpbre280239,233,2x2
watecy30062,350,1x1
cords33444,B1-206,2x2
legfc32606,12-204,2x2
coronponce30030,413,1x1
tersm78748,0439,2x2
jeflbre230062,1122,3x2
remsbre243081,5651TSW,2x2.5
purlv75039,1023,1x1
15777qoef75001,4222,1x1
adlb28078,6310,2x2
belv75025,1532,3x2
watecy30062,593,2x1
jamsbre30043,10308,2x2
inkwg77084,03-3107,2x2
dechighlands,328,2x2
estta80234,13-307,1x1
hofbb76126,2131,2x1.5
watecbre230062,589,1x1
por30096,1526,1x1.5
HighlM30033,201,2x2
greenwh30080,23D,2x2
ansl28210,1113,1x1
bris75056,0342,2x2
cosa33782,3106,1x1
wrenn28216,11307,2x2
chel830096,2524,1x1
gal33615,575218,2x2
cornd28210,217,2x2
hil30342,1350,1x1
lakgpbre280239,219,1x1
sarpm28105,406-27,2x1
tus30093,183018,2x2
legfc32606,18-305,1x1
som30084,1102,2x2
abbl43110,3800,1x1
arbsbre27713,1628,2x2
bowb33616,0809,2x2
sanbcbre85226,1047,2x2
sunpo43074,3025,2x2
sprinv30032,280713,1x1
vishc75063,1902,2x1.5
watec30062,940,2x2.5
atra80021,5202,2x2
verp76177,3325,1x1
bowbn33616,6031,2x2
cosa33782,2404,2x2
echl30092,2212,1x1
corub33428,85-407,3x2
porp233409,206,1x1
ac20147,AT792105,2x2
towcbre77339,1206,1x1
parlcbre33615,2-115,1x1
HighlM30033,835,1x1
hersf30310,2317,2x2
praircv75080,0721,1x1
corwe75229,9103,1x1
dompp30326,1415,1x1
deerv34471,1902,1x1
vers32771,02-126,1x1
madl43110,6175,2x2
tosvr75077,11204,1x1
bouldp77536,803,2x2
att30022,1422,2x2
merbre43212,2670,1x1
corbawarba33764,2-210,2x2
corar85042,238,2x2
wyndsorc75002,614,2x2
corwe75229,23105,1x1
attl75077,3121,1x1
poin28217,1434,1x1
atra80021,3406,2x2
corlc85718,1-039,1x1
vers32771,03-348,2x2
gal33615,505378,2x2
vensp77388,2319,1x1
corpc22202,01-1110,0x1
corar78759,604,1x1
arlingapt22209,1103,2x2
jefl30062,0512,2x2
unc28262,1424,1x1
attbre30022,725,2x2
jefc43004,1042J,2x2
harlhy32707,12-101,3x2
attd76208,21104,2x2
attdLSC76208,27104,2x2
attw89108,211,2x2
hamrbre27713,S211,2x2
kinco33186,14-01426,1x1
vk77094,4307,2x2
parcbre285016,3038,2x2
arbs27713,336,1x1
can30341,3169I,1x1
lex30004,2204,2x2
sunri85704,191,2x2
lakr43026,6144,2x1
retr78148,235,1x1
cornd28210,235,2x2
corsv75035,2D - 247,2x2
charlc70605,614,2x2
tradw77064,15-1518,2x2
becpbre75038,1010,1x1
chh37013,0324,2x2
norsu43074,A221,2x2
villp430080,2161B,2x2
villp430080,2195H,1x1
corjp32822,4201,2x2
courv85008,1127,2x2
corwn37209,148,0x1
corhp85233,1032,2x1
cosa33782,5208,1x1
vensp77388,1305,1x1
exchnhyld30341,11408,2x2
corhcoef34741,D-214,1x1
arcls80124,4351,1x1
corar85042,104,2x2
cors75035,1E - 460,2x2
corr78730,2133,1x1
becp75038,3059,2x2
adwr75078,6106,3x2
can30341,3081H,1x1
can30341,3271T,1x1
cormidmia33137,1508,1x1
madlbre43110,6336,2x2
corpp85306,1179,3x2
corrosscp22209,1-0804,1x1
rial75010,5102,1x1
wat78748,02-0220,3x2
steep30093,5938A,2x2
wrennl28216,1-306,1x1
vilc77054,2124,1x1
hunc28262,301A,2x2
ams75034,2113,1x1
clifg30083,731-02,4x2
corlo85704,05303,1x1
corl33612,8302,2x2
sovbbre28262,1638,2x2
resal43110,7413,2x1
wrenn28216,1212,1x1
audv33615,A14,2x2
corch75056,1063,1x1
15777qoef75001,3402,1x2
hil30342,1269,2x2
visll134711,6202,1x1
corwbbre233437,6104,1x1
dismvbre285209,2017,2x2
hofbb76126,4203,2x2
alng75063,463013,1x1
can30341,3133Q,2x2
unc28262,723,1x1
covri80233,A105,1x1
attvv89102,1115,1x1
corwpwarba33401,9-312,1x1
watecbre230062,584,1x1
laur76137,233,1x1
villp130080,2007L,1x1
sovpr75035,16214,1x1
corwbbre233437,3107,2x2
corcg33896,1-114,2x2
on80920,3-307,2x2
cororTL27612,4008-308,1x1
corch75056,5073,1x1
corro77019,9312,1x1
avf75219,1062,2x2
vers32771,03-350,2x2
adwr75078,16101,2x2
berpna43054,7226H,2x2.5
corpp85306,2125,1x1
coras75002,01 - 2028,1x1
newl77084,08-106,1x1
presro78728,17-1724,3x2
corri33578,9182-107,2x2
purcoc78748,313,1x1
capcwbre228273,4108,1x1
adwg32821,5206,2x2
ansl28210,2738,2x2
corpp85306,2086,2x2
corp885345,2110,2x2
corho33020,08307,2x2
villp3oef30080,2113L,2x1
sormp28117,1103,2x2
arrs85308,1010,2x2
corbc27701,503,1x1
sunpo43074,3113,2x2
wyndsorc75002,1605,1x1
tus30093,184517,1x1
spc30092,088A,1x1
ridvoef76116,1-826,2x2
corp30342,117,1x1
avscr77584,11109,1x1
cors75035,1A - 222,2x2
can30093,P1102,2x2
cornona32832,2227,2x2
cor2580534,D-303,2x2
madlbre43110,6184,2x2
cans30253,1127,2x2
laur76137,123,2x2
watec30062,576,2x1
unc28262,1825,1x1
gatpl33025,09-305,2x1
corsk33177,09-208,2x2
aq32256,N106,1x1
astpoef30096,0805,2x2
ves35205,H1606,1x1
cororoy75063,1116,1x1
corl33612,9108,1x1
poinoef28217,1122,2x2
flatwhbre78245,16103,2x2
bowbbre233616,1331,0x1
cortm83642,S203,3x2
mintui180246,09-402,2x2
ridv76116,720,2x2
towc77339,1910,1x1
corbs78744,5314,2x2
hersf30310,2218,2x2
avpf30318,736,1x1
resal43110,7453,2x1
par8y30076,2511,1x1
corhiTL27519,1200-1216,2x2
1250w30064,1003,3x2
arcp76177,03-3202,2x2
cormd77004,1111,1x1
fosc76137,7102,2x2
stonbc76039,1921,2x1
par8y30076,2414,2x2
legfc32606,15-205,1x1
corscottm85259,106,1x1
alngbre75063,704043,2x2
astpoef30096,1418,1x1
casnriet28216,9425-205,1x1
parl33615,106,2x2
towcbre77339,1714,2x2
retsr75071,1411,3x2
arcls80124,4329,2x2
corbc27617,231,1x1
coronponce30030,G62,2x2
corrosscp22209,1-0310,0x1
jefl30062,0513,2x2
remsbre243081,5443TSW,2x2.5
poinlp30319,11103,2x2
garv75287,6208,1x1
corb280226,C-155,1x1
coror27612,4004-304,2x2
becpbre75038,2104,2x2
arbsbre27713,1333,1x1
arbsbre27713,1012,1x1
cors75035,1A - 421,1x1
corsb75035,422,2x2
