,property,date,avg_rent_per_sqft,net_leased,rev_pasf,rev_pasf_rank,year_month,quarter
102,Cortland North Tucson,2024-04-14,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
103,Cortland North Tucson,2024-04-15,1.3880585970138204,0.8958333333333334,1.2434691598248808,1.0,2024-04,Q2 2024
104,Cortland North Tucson,2024-04-16,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
105,Cortland North Tucson,2024-04-17,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
106,Cortland North Tucson,2024-04-18,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
107,Cortland North Tucson,2024-04-19,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
108,Cortland North Tucson,2024-04-20,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
109,Cortland North Tucson,2024-04-21,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
110,Cortland North Tucson,2024-04-22,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
111,Cortland North Tucson,2024-04-23,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
112,Cortland North Tucson,2024-04-24,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
113,Cortland North Tucson,2024-04-25,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
114,Cortland North Tucson,2024-04-26,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
115,Cortland North Tucson,2024-04-27,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
116,Cortland North Tucson,2024-04-28,1.389066518629652,0.8888888888888888,1.2347257943374683,1.0,2024-04,Q2 2024
117,Cortland North Tucson,2024-04-29,1.389066518629652,0.8819444444444444,1.2250794990692069,1.0,2024-04,Q2 2024
118,Cortland North Tucson,2024-04-30,1.389066518629652,0.875,1.2154332038009454,1.0,2024-04,Q2 2024
119,Cortland North Tucson,2024-05-01,1.3955637947175321,0.8680555555555556,1.2114269051367466,1.0,2024-05,Q2 2024
120,Cortland North Tucson,2024-05-02,1.3955637947175321,0.875,1.2211183203778406,1.0,2024-05,Q2 2024
121,Cortland North Tucson,2024-05-03,1.3940663634318984,0.875,1.219808068002911,1.0,2024-05,Q2 2024
122,Cortland North Tucson,2024-05-04,1.3949365925303168,0.8819444444444444,1.2302565781343766,1.0,2024-05,Q2 2024
123,Cortland North Tucson,2024-05-05,1.3942810676751172,0.8888888888888888,1.2393609490445485,1.0,2024-05,Q2 2024
124,Cortland North Tucson,2024-05-06,1.3942810676751172,0.8958333333333334,1.2490434564589592,1.0,2024-05,Q2 2024
125,Cortland North Tucson,2024-05-07,1.3942810676751172,0.8819444444444444,1.229678441630138,1.0,2024-05,Q2 2024
126,Cortland North Tucson,2024-05-08,1.3942810676751172,0.8819444444444444,1.229678441630138,1.0,2024-05,Q2 2024
127,Cortland North Tucson,2024-05-09,1.39750597444275,0.8819444444444444,1.232522630237703,1.0,2024-05,Q2 2024
128,Cortland North Tucson,2024-05-10,1.39750597444275,0.875,1.2228177276374064,1.0,2024-05,Q2 2024
129,Cortland North Tucson,2024-05-11,1.39750597444275,0.875,1.2228177276374064,1.0,2024-05,Q2 2024
130,Cortland North Tucson,2024-05-12,1.39750597444275,0.8680555555555556,1.2131128250371095,1.0,2024-05,Q2 2024
131,Cortland North Tucson,2024-05-13,1.39750597444275,0.8680555555555556,1.2131128250371095,1.0,2024-05,Q2 2024
132,Cortland North Tucson,2024-05-14,1.39750597444275,0.8680555555555556,1.2131128250371095,1.0,2024-05,Q2 2024
133,Cortland North Tucson,2024-05-15,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
134,Cortland North Tucson,2024-05-16,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
135,Cortland North Tucson,2024-05-17,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
136,Cortland North Tucson,2024-05-18,1.39750597444275,0.8611111111111112,1.2034079224368126,1.0,2024-05,Q2 2024
